idASSETS,TICKER,DATE,PFT_MRGN,REV_GRTH,ERN_GRTH,CASH,DEBT,CF,PRICE,RANK
7767,AAPL,"2023-12-14 00:00:00",25.31e-2,-0.7000000216066837,8.95,61554999296,1.99,60387373056,198.11,NULL
7767,AAPL,"2023-12-13 00:00:00",25.31e-2,-0.7000000216066837,8.85,61554999296,1.99,60387373056,197.96,NULL
7767,AAPL,"2023-12-12 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,194.71,NULL
7767,AAPL,"2023-12-11 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,193.18,NULL
7767,AAPL,"2023-12-10 00:00:00",25.31%,-0.7000000216066837,8.83,61554999296,123930001408,60387373056,195.71,NULL
7767,AAPL,"2023-12-09 00:00:00",25.31%,-0.7000000216066837,8.83,61554999296,123930001408,60387373056,195.71,NULL
7767,AAPL,"2023-12-08 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,195.71,NULL
7767,AAPL,"2023-12-07 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,194.27,NULL
7767,AAPL,"2023-12-06 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,192.32,NULL
7767,AAPL,"2023-12-05 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,193.42,NULL
7767,AAPL,"2023-12-04 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,189.43,NULL
7767,AAPL,"2023-12-03 00:00:00",25.31%,-0.7000000216066837,8.83,61554999296,123930001408,60387373056,191.24,NULL
7767,AAPL,"2023-12-02 00:00:00",25.31%,-0.7000000216066837,8.83,61554999296,123930001408,60387373056,191.24,NULL
7767,AAPL,"2023-12-01 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,191.24,NULL
7767,AAPL,"2023-11-30 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,189.95,NULL
7767,AAPL,"2023-11-29 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,189.37,NULL
7767,AAPL,"2023-11-28 00:00:00",25.31e-2,-0.7000000216066837,8.83,61554999296,1.99,60387373056,190.40,NULL
7767,AAPL,"2023-11-27 00:00:00",25.31e-2,-0.7000000216066837,8.82,61554999296,1.99,60387373056,189.79,NULL
7767,AAPL,"2023-11-26 00:00:00",25.31%,-0.7000000216066837,8.82,61554999296,123930001408,60387373056,189.97,NULL
7767,AAPL,"2023-11-25 00:00:00",25.31%,-0.7000000216066837,8.82,61554999296,123930001408,60387373056,189.97,NULL
7767,AAPL,"2023-11-24 00:00:00",25.31e-2,-0.7000000216066837,8.82,61554999296,1.99,60387373056,189.97,NULL
7767,AAPL,"2023-11-23 00:00:00",25.31e-2,-0.7000000216066837,8.86,61554999296,1.99,60387373056,191.31,NULL
